Using device: cuda
Start training with 22849352 number of parameters
Iteration 213: Allocated: 858.57 MB, Reserved: 12408.00 MB
Iteration 214: Allocated: 841.27 MB, Reserved: 12408.00 MB
Iteration 215: Allocated: 935.16 MB, Reserved: 12408.00 MB
Iteration 216: Allocated: 914.27 MB, Reserved: 12408.00 MB
Iteration 217: Allocated: 935.72 MB, Reserved: 12408.00 MB
Iteration 218: Allocated: 867.16 MB, Reserved: 12408.00 MB
Iteration 219: Allocated: 886.38 MB, Reserved: 12408.00 MB
Iteration 220: Allocated: 932.52 MB, Reserved: 12408.00 MB
Iteration 221: Allocated: 935.80 MB, Reserved: 12408.00 MB
Iteration 222: Allocated: 867.73 MB, Reserved: 12408.00 MB
Iteration 223: Allocated: 909.25 MB, Reserved: 12408.00 MB
Iteration 224: Allocated: 941.80 MB, Reserved: 12408.00 MB
Iteration 225: Allocated: 913.01 MB, Reserved: 12408.00 MB
Iteration 226: Allocated: 913.83 MB, Reserved: 12408.00 MB
Iteration 227: Allocated: 933.29 MB, Reserved: 12408.00 MB
Iteration 228: Allocated: 960.38 MB, Reserved: 12408.00 MB
Iteration 229: Allocated: 922.68 MB, Reserved: 12408.00 MB
Iteration 230: Allocated: 939.81 MB, Reserved: 12408.00 MB
Iteration 231: Allocated: 912.08 MB, Reserved: 12408.00 MB
Iteration 232: Allocated: 851.50 MB, Reserved: 12408.00 MB
Iteration 233: Allocated: 841.47 MB, Reserved: 12408.00 MB
Iteration 234: Allocated: 853.30 MB, Reserved: 12408.00 MB
Iteration 235: Allocated: 892.11 MB, Reserved: 12408.00 MB
Iteration 236: Allocated: 844.34 MB, Reserved: 12408.00 MB
Iteration 237: Allocated: 835.05 MB, Reserved: 12408.00 MB
Iteration 238: Allocated: 909.83 MB, Reserved: 12408.00 MB
Iteration 239: Allocated: 957.24 MB, Reserved: 12408.00 MB
Iteration 240: Allocated: 928.87 MB, Reserved: 12408.00 MB
Iteration 241: Allocated: 901.90 MB, Reserved: 12408.00 MB
Iteration 242: Allocated: 881.57 MB, Reserved: 12408.00 MB
Iteration 243: Allocated: 912.77 MB, Reserved: 12408.00 MB
Iteration 244: Allocated: 907.25 MB, Reserved: 12408.00 MB
Iteration 245: Allocated: 854.75 MB, Reserved: 12408.00 MB
Iteration 246: Allocated: 854.42 MB, Reserved: 12408.00 MB
Iteration 247: Allocated: 910.55 MB, Reserved: 12408.00 MB
Iteration 248: Allocated: 839.00 MB, Reserved: 12408.00 MB
Iteration 249: Allocated: 826.52 MB, Reserved: 12408.00 MB
Iteration 250: Allocated: 742.55 MB, Reserved: 12408.00 MB
Iteration 251: Allocated: 890.49 MB, Reserved: 12408.00 MB
Iteration 252: Allocated: 960.91 MB, Reserved: 12408.00 MB
Iteration 253: Allocated: 911.11 MB, Reserved: 12408.00 MB
Iteration 254: Allocated: 952.80 MB, Reserved: 12408.00 MB
Iteration 255: Allocated: 871.15 MB, Reserved: 12408.00 MB
Iteration 256: Allocated: 716.78 MB, Reserved: 12408.00 MB
Iteration 257: Allocated: 886.03 MB, Reserved: 12408.00 MB
Iteration 258: Allocated: 853.44 MB, Reserved: 12408.00 MB
Iteration 259: Allocated: 908.26 MB, Reserved: 12408.00 MB
Iteration 260: Allocated: 917.16 MB, Reserved: 12408.00 MB
Iteration 261: Allocated: 873.84 MB, Reserved: 12408.00 MB
Iteration 262: Allocated: 850.10 MB, Reserved: 12408.00 MB
Iteration 263: Allocated: 901.19 MB, Reserved: 12408.00 MB
Iteration 264: Allocated: 918.22 MB, Reserved: 12408.00 MB
Iteration 265: Allocated: 924.53 MB, Reserved: 12408.00 MB
Iteration 0: Allocated: 888.40 MB, Reserved: 3862.00 MB
Iteration 1: Allocated: 849.64 MB, Reserved: 7068.00 MB
Iteration 2: Allocated: 855.28 MB, Reserved: 7072.00 MB
Iteration 3: Allocated: 892.31 MB, Reserved: 7072.00 MB
Iteration 4: Allocated: 850.58 MB, Reserved: 7072.00 MB
Iteration 5: Allocated: 842.02 MB, Reserved: 7072.00 MB
Iteration 6: Allocated: 902.22 MB, Reserved: 7352.00 MB
Iteration 7: Allocated: 881.45 MB, Reserved: 8720.00 MB
Iteration 8: Allocated: 932.29 MB, Reserved: 8720.00 MB
Iteration 9: Allocated: 844.92 MB, Reserved: 8720.00 MB
Iteration 10: Allocated: 862.03 MB, Reserved: 8720.00 MB
Iteration 11: Allocated: 854.69 MB, Reserved: 8720.00 MB
Iteration 12: Allocated: 926.56 MB, Reserved: 8720.00 MB
Iteration 13: Allocated: 964.92 MB, Reserved: 9342.00 MB
Iteration 14: Allocated: 913.26 MB, Reserved: 11602.00 MB
Iteration 15: Allocated: 883.60 MB, Reserved: 11602.00 MB
Iteration 16: Allocated: 955.13 MB, Reserved: 11602.00 MB
Iteration 17: Allocated: 941.22 MB, Reserved: 11624.00 MB
Iteration 18: Allocated: 880.84 MB, Reserved: 11624.00 MB
Iteration 19: Allocated: 842.81 MB, Reserved: 11624.00 MB
Iteration 20: Allocated: 877.82 MB, Reserved: 11624.00 MB
Iteration 21: Allocated: 837.88 MB, Reserved: 11624.00 MB
Iteration 22: Allocated: 876.65 MB, Reserved: 11624.00 MB
Iteration 23: Allocated: 854.13 MB, Reserved: 11624.00 MB
Iteration 24: Allocated: 921.84 MB, Reserved: 11624.00 MB
Iteration 25: Allocated: 838.99 MB, Reserved: 11624.00 MB
Iteration 26: Allocated: 874.01 MB, Reserved: 11624.00 MB
Iteration 27: Allocated: 902.61 MB, Reserved: 11624.00 MB
Iteration 28: Allocated: 915.90 MB, Reserved: 11624.00 MB
Iteration 29: Allocated: 885.05 MB, Reserved: 11624.00 MB
Iteration 30: Allocated: 932.49 MB, Reserved: 11624.00 MB
Iteration 31: Allocated: 924.69 MB, Reserved: 11624.00 MB
Iteration 32: Allocated: 950.70 MB, Reserved: 11624.00 MB
Iteration 33: Allocated: 933.22 MB, Reserved: 11624.00 MB
Iteration 34: Allocated: 838.76 MB, Reserved: 11624.00 MB
Iteration 35: Allocated: 875.50 MB, Reserved: 11624.00 MB
Iteration 36: Allocated: 967.38 MB, Reserved: 11624.00 MB
Iteration 37: Allocated: 930.12 MB, Reserved: 11624.00 MB
Iteration 38: Allocated: 886.60 MB, Reserved: 11624.00 MB
Iteration 39: Allocated: 952.70 MB, Reserved: 11626.00 MB
Iteration 40: Allocated: 910.52 MB, Reserved: 11626.00 MB
Iteration 41: Allocated: 945.22 MB, Reserved: 11626.00 MB
Iteration 42: Allocated: 886.68 MB, Reserved: 11626.00 MB
Iteration 43: Allocated: 880.09 MB, Reserved: 11626.00 MB
Iteration 44: Allocated: 924.74 MB, Reserved: 11626.00 MB
Iteration 45: Allocated: 923.24 MB, Reserved: 11626.00 MB
Iteration 46: Allocated: 740.07 MB, Reserved: 11626.00 MB
Iteration 47: Allocated: 855.83 MB, Reserved: 11626.00 MB
Iteration 48: Allocated: 898.29 MB, Reserved: 11626.00 MB
Iteration 49: Allocated: 962.59 MB, Reserved: 11626.00 MB
Iteration 50: Allocated: 936.89 MB, Reserved: 11626.00 MB
Iteration 51: Allocated: 897.76 MB, Reserved: 11626.00 MB
Iteration 52: Allocated: 859.22 MB, Reserved: 11626.00 MB
Iteration 53: Allocated: 936.92 MB, Reserved: 11626.00 MB
Iteration 54: Allocated: 931.20 MB, Reserved: 11626.00 MB
Iteration 55: Allocated: 882.83 MB, Reserved: 11626.00 MB
Iteration 56: Allocated: 945.94 MB, Reserved: 11626.00 MB
Iteration 57: Allocated: 867.13 MB, Reserved: 11626.00 MB
Iteration 58: Allocated: 945.13 MB, Reserved: 11626.00 MB
Iteration 59: Allocated: 857.14 MB, Reserved: 11626.00 MB
Iteration 60: Allocated: 890.22 MB, Reserved: 11626.00 MB
Iteration 61: Allocated: 861.73 MB, Reserved: 11626.00 MB
Iteration 62: Allocated: 883.51 MB, Reserved: 11626.00 MB
Iteration 63: Allocated: 895.68 MB, Reserved: 11626.00 MB
Iteration 64: Allocated: 840.13 MB, Reserved: 11626.00 MB
Iteration 65: Allocated: 858.08 MB, Reserved: 11626.00 MB
Iteration 66: Allocated: 876.37 MB, Reserved: 11626.00 MB
Iteration 67: Allocated: 879.04 MB, Reserved: 11626.00 MB
Iteration 68: Allocated: 865.81 MB, Reserved: 11626.00 MB
Iteration 69: Allocated: 897.90 MB, Reserved: 11626.00 MB
