Using device: cuda
Start training with 21576776 number of parameters
Iteration 213: Allocated: 775.82 MB, Reserved: 11626.00 MB
Iteration 214: Allocated: 764.88 MB, Reserved: 11626.00 MB
Iteration 215: Allocated: 795.60 MB, Reserved: 11626.00 MB
Iteration 216: Allocated: 757.17 MB, Reserved: 11626.00 MB
Iteration 217: Allocated: 812.25 MB, Reserved: 11626.00 MB
Iteration 218: Allocated: 765.41 MB, Reserved: 11626.00 MB
Iteration 219: Allocated: 839.24 MB, Reserved: 11626.00 MB
Iteration 220: Allocated: 807.20 MB, Reserved: 11626.00 MB
Iteration 221: Allocated: 823.39 MB, Reserved: 11626.00 MB
Iteration 222: Allocated: 829.44 MB, Reserved: 11626.00 MB
Iteration 223: Allocated: 803.16 MB, Reserved: 11626.00 MB
Iteration 224: Allocated: 788.93 MB, Reserved: 11626.00 MB
Iteration 225: Allocated: 791.30 MB, Reserved: 11626.00 MB
Iteration 226: Allocated: 763.02 MB, Reserved: 11626.00 MB
Iteration 227: Allocated: 763.52 MB, Reserved: 11626.00 MB
Iteration 228: Allocated: 795.08 MB, Reserved: 11626.00 MB
Iteration 229: Allocated: 799.86 MB, Reserved: 11626.00 MB
Iteration 230: Allocated: 825.86 MB, Reserved: 11626.00 MB
Iteration 231: Allocated: 814.63 MB, Reserved: 11626.00 MB
Iteration 232: Allocated: 828.94 MB, Reserved: 11626.00 MB
Iteration 233: Allocated: 828.40 MB, Reserved: 11626.00 MB
Iteration 234: Allocated: 828.84 MB, Reserved: 11626.00 MB
Iteration 235: Allocated: 803.15 MB, Reserved: 11626.00 MB
Iteration 236: Allocated: 804.30 MB, Reserved: 11626.00 MB
Iteration 237: Allocated: 781.15 MB, Reserved: 11626.00 MB
Iteration 238: Allocated: 829.85 MB, Reserved: 11626.00 MB
Iteration 239: Allocated: 806.14 MB, Reserved: 11626.00 MB
Iteration 240: Allocated: 807.33 MB, Reserved: 11626.00 MB
Iteration 241: Allocated: 789.98 MB, Reserved: 11626.00 MB
Iteration 242: Allocated: 803.01 MB, Reserved: 11626.00 MB
Iteration 243: Allocated: 800.19 MB, Reserved: 11626.00 MB
Iteration 244: Allocated: 811.74 MB, Reserved: 11626.00 MB
Iteration 245: Allocated: 803.06 MB, Reserved: 11626.00 MB
Iteration 246: Allocated: 801.74 MB, Reserved: 11626.00 MB
Iteration 247: Allocated: 814.68 MB, Reserved: 11626.00 MB
Iteration 248: Allocated: 781.67 MB, Reserved: 11626.00 MB
Iteration 249: Allocated: 787.46 MB, Reserved: 11626.00 MB
Iteration 250: Allocated: 844.33 MB, Reserved: 11626.00 MB
Iteration 251: Allocated: 825.56 MB, Reserved: 11626.00 MB
Iteration 252: Allocated: 797.09 MB, Reserved: 11626.00 MB
Iteration 253: Allocated: 780.66 MB, Reserved: 11626.00 MB
Iteration 254: Allocated: 763.40 MB, Reserved: 11626.00 MB
Iteration 255: Allocated: 823.00 MB, Reserved: 11626.00 MB
Iteration 256: Allocated: 775.71 MB, Reserved: 11626.00 MB
Iteration 257: Allocated: 767.51 MB, Reserved: 11626.00 MB
Iteration 258: Allocated: 784.48 MB, Reserved: 11626.00 MB
Iteration 259: Allocated: 744.75 MB, Reserved: 11626.00 MB
Iteration 260: Allocated: 760.63 MB, Reserved: 11626.00 MB
Iteration 261: Allocated: 796.71 MB, Reserved: 11626.00 MB
Iteration 262: Allocated: 795.52 MB, Reserved: 11626.00 MB
Iteration 263: Allocated: 815.83 MB, Reserved: 11626.00 MB
Iteration 264: Allocated: 790.82 MB, Reserved: 11626.00 MB
Iteration 265: Allocated: 770.28 MB, Reserved: 11626.00 MB
Iteration 0: Allocated: 787.95 MB, Reserved: 3704.00 MB
Iteration 1: Allocated: 766.53 MB, Reserved: 4748.00 MB
Iteration 2: Allocated: 813.65 MB, Reserved: 8658.00 MB
Iteration 3: Allocated: 838.28 MB, Reserved: 8660.00 MB
Iteration 4: Allocated: 810.26 MB, Reserved: 9386.00 MB
Iteration 5: Allocated: 797.50 MB, Reserved: 9386.00 MB
Iteration 6: Allocated: 767.98 MB, Reserved: 9386.00 MB
Iteration 7: Allocated: 797.97 MB, Reserved: 9386.00 MB
Iteration 8: Allocated: 767.76 MB, Reserved: 9386.00 MB
Iteration 9: Allocated: 764.29 MB, Reserved: 9386.00 MB
Iteration 10: Allocated: 759.48 MB, Reserved: 9386.00 MB
Iteration 11: Allocated: 816.87 MB, Reserved: 9386.00 MB
Iteration 12: Allocated: 758.69 MB, Reserved: 9846.00 MB
Iteration 13: Allocated: 830.74 MB, Reserved: 10306.00 MB
Iteration 14: Allocated: 787.94 MB, Reserved: 10306.00 MB
Iteration 15: Allocated: 846.67 MB, Reserved: 10306.00 MB
Iteration 16: Allocated: 834.55 MB, Reserved: 10306.00 MB
Iteration 17: Allocated: 786.11 MB, Reserved: 10306.00 MB
Iteration 18: Allocated: 843.31 MB, Reserved: 10506.00 MB
Iteration 19: Allocated: 813.54 MB, Reserved: 10506.00 MB
Iteration 20: Allocated: 790.84 MB, Reserved: 10506.00 MB
Iteration 21: Allocated: 794.82 MB, Reserved: 10506.00 MB
Iteration 22: Allocated: 765.05 MB, Reserved: 10506.00 MB
Iteration 23: Allocated: 829.78 MB, Reserved: 10506.00 MB
Iteration 24: Allocated: 788.24 MB, Reserved: 10506.00 MB
Iteration 25: Allocated: 812.56 MB, Reserved: 10506.00 MB
Iteration 26: Allocated: 781.58 MB, Reserved: 10506.00 MB
Iteration 27: Allocated: 762.15 MB, Reserved: 10506.00 MB
Iteration 28: Allocated: 771.49 MB, Reserved: 10506.00 MB
Iteration 29: Allocated: 780.37 MB, Reserved: 10506.00 MB
Iteration 30: Allocated: 786.69 MB, Reserved: 10506.00 MB
Iteration 31: Allocated: 774.45 MB, Reserved: 10506.00 MB
Iteration 32: Allocated: 780.25 MB, Reserved: 10506.00 MB
Iteration 33: Allocated: 805.14 MB, Reserved: 10506.00 MB
Iteration 34: Allocated: 815.03 MB, Reserved: 10506.00 MB
Iteration 35: Allocated: 762.30 MB, Reserved: 10506.00 MB
Iteration 36: Allocated: 803.91 MB, Reserved: 10506.00 MB
Iteration 37: Allocated: 804.32 MB, Reserved: 10506.00 MB
Iteration 38: Allocated: 812.18 MB, Reserved: 10506.00 MB
Iteration 39: Allocated: 833.75 MB, Reserved: 10506.00 MB
