Using device: cuda
Start training with 22849352 number of parameters
Iteration 155: Allocated: 640.05 MB, Reserved: 11046.00 MB
Iteration 156: Allocated: 656.36 MB, Reserved: 11046.00 MB
Iteration 157: Allocated: 626.84 MB, Reserved: 11046.00 MB
Iteration 158: Allocated: 594.49 MB, Reserved: 11046.00 MB
Iteration 159: Allocated: 648.56 MB, Reserved: 11046.00 MB
Iteration 160: Allocated: 638.59 MB, Reserved: 11046.00 MB
Iteration 161: Allocated: 568.08 MB, Reserved: 11046.00 MB
Iteration 162: Allocated: 613.95 MB, Reserved: 11406.00 MB
Iteration 163: Allocated: 646.99 MB, Reserved: 11406.00 MB
Iteration 164: Allocated: 616.94 MB, Reserved: 11406.00 MB
Iteration 165: Allocated: 642.13 MB, Reserved: 11406.00 MB
Iteration 166: Allocated: 613.43 MB, Reserved: 11406.00 MB
Iteration 167: Allocated: 600.23 MB, Reserved: 11406.00 MB
Iteration 168: Allocated: 608.05 MB, Reserved: 11406.00 MB
Iteration 169: Allocated: 548.66 MB, Reserved: 11406.00 MB
Iteration 170: Allocated: 590.89 MB, Reserved: 11406.00 MB
Iteration 171: Allocated: 589.96 MB, Reserved: 11406.00 MB
Iteration 172: Allocated: 604.69 MB, Reserved: 11406.00 MB
Iteration 173: Allocated: 601.60 MB, Reserved: 11406.00 MB
Iteration 174: Allocated: 632.94 MB, Reserved: 11406.00 MB
Iteration 175: Allocated: 615.87 MB, Reserved: 11406.00 MB
Iteration 176: Allocated: 653.17 MB, Reserved: 11406.00 MB
Iteration 177: Allocated: 571.97 MB, Reserved: 11406.00 MB
Iteration 178: Allocated: 550.44 MB, Reserved: 11406.00 MB
Iteration 179: Allocated: 598.98 MB, Reserved: 11406.00 MB
Iteration 180: Allocated: 617.93 MB, Reserved: 11406.00 MB
Iteration 181: Allocated: 601.36 MB, Reserved: 11406.00 MB
Iteration 182: Allocated: 609.74 MB, Reserved: 11406.00 MB
Iteration 183: Allocated: 643.00 MB, Reserved: 11406.00 MB
Iteration 184: Allocated: 605.71 MB, Reserved: 11406.00 MB
Iteration 185: Allocated: 520.31 MB, Reserved: 11406.00 MB
Iteration 186: Allocated: 634.38 MB, Reserved: 11406.00 MB
Iteration 187: Allocated: 612.53 MB, Reserved: 11406.00 MB
Iteration 188: Allocated: 631.28 MB, Reserved: 11406.00 MB
